id,comment,patterns
com.vityuk:ginger-core,,
com.weiglewilczek.scala-lang-osgi:scala-library,,throw
com.weiglewilczek.scala-lang-osgi:scala-library_2.8.0.RC3,,throw
com.weiglewilczek.scala-lang-osgi:scala-library_2.8.0.RC4,,throw
com.weiglewilczek.scala-lang-osgi:scala-library_2.8.0.RC5,,throw
com.wizzardo.tools:tools,,
com.wordnik:swagger-java-dropwizard-sample-app_2.10,,throw
com.wordnik:swagger-java-dropwizard-sample-app_2.10.0,,throw
com.wordnik:swagger-java-dropwizard-sample-app_2.9.1,,throw
com.yammer.backups:backups-service,,
com.yammer.breakerbox:breakerbox-service,,
com.yammer.telemetry:telemetry-example,,
com.yammer.telemetry:telemetry-service,,
com.zaxxer:nuprocess,,
com.zulily.dropship:dropship,,
de.eleon:console-builder-example,,
de.greenrobot:java-common,,
de.matrixweb.smaller:ant-standalone,,
de.matrixweb.smaller:servlet,,
de.matrixweb.smaller:smaller-dev-server,,
de.matrixweb.smaller:standalone,,
de.sfb876:fact-tools,,
edu.washington.cs.types.checker:checker-annotated-jdk7,,throw
edu.washington.cs.types.checker:checker-annotated-jdk8,,throw
edu.washington.cs.types.checker:checker-annotated-openjdk7,,throw
es.ehu.si.ixa:ixa-pipe-nerc,,
es.ehu.si.ixa:ixa-pipe-pos,,
es.ehu.si.ixa:ixa-pipe-tok,,
es.usc.citius.hipster:hipster-all,,
eu.agrosense.apps:launcher,,throw
guru.nidi.raml:raml-tester-proxy,,
hm.binkley:binkley-util,,throw
io.fabric8.insight:insight-rhq-metrics,,
io.fabric8:apmagent-project,,
io.fabric8:fabric-client,,
io.fabric8:fabric8-apm,,
io.fabric8:tooling-fabric-all,,
io.github.rmuhamedgaliev.yams:YAMS,,
io.joynr.java.messaging.bounceproxy:bounceproxy-standalone,,
io.protostuff:protostuff-uberjar,,
io.restx:restx-annotation-processors-package,,
io.searchbox:jest-droid,,
io.skullabs.trip:sample,,
io.undertow:undertow-examples,,
jp.co.worksap.oss:findbugs-plugin,,
jp.co.worksap.workspace:hideyoshi-cli,,
jp.skypencil.findbugs.slf4j:bug-pattern,,
me.cmoz.grizzly:grizzly-blink,,
net.bytebuddy:byte-buddy-benchmark,,
net.dongliu.cache:direct-cache,,
net.dongliu:direct-cache,,throw
net.magik6k:bitbuffer,,
net.maritimecloud.mms:mc-mms-server,,
net.maritimecloud.mms:mc-mms-server-standalone,,
net.openhft:hftc-impl-jdk6-7,,
net.openhft:hftc-impl-jdk8,,
net.openhft:koloboke-impl-jdk8,,
net.openhft:zero-allocation-hashing,,
net.oschina.j2cache:j2cache,,
net.roboconf:roboconf-iaas-docker,,
net.roboconf:roboconf-target-docker,,
net.scattersphere:scattersphere-cli,,throw
net.sf.sociaal:lwjgl,,
net.sf.sparql-query-bm:cmd,,
net.sourceforge.owlapi:owlapi-compatibility,,
net.sourceforge.owlapi:owlapi-contract,,
net.sourceforge.owlapi:owlapi-fixers,,
net.sourceforge.owlapi:owlapi-oboformat,,
net.sourceforge.owlapi:owlapi-osgidistribution,,
net.sourceforge.owlapi:owlapi-rio,,
net.sourceforge.owlapi:owlapi-tools,,
net.sourceforge.streamsupport:streamsupport,,
net.sourceforge.web-harvest:webharvest-ide,,
net.virtual-void:futures-backport_2.9.2,,
net.vvakame:blazdb-apt,,class
net.wetheinter:xapi-dev,,
nl.grons:sentries_2.10,,
nl.grons:sentries_2.11,,
nl.grons:sentries_2.9.1,,
nl.grons:sentries_2.9.1-1,,
nl.grons:sentries_2.9.2,,
nl.grons:sentries_2.9.3,,
openejb:xstream-PATCH,,
org.androidtransfuse:transfuse,,
org.apache-extras.camel-extra:camel-example-rcode,,
org.apache.bigtop.itest:fat-smoke,,throw
org.apache.curator:curator-x-rpc,,
org.apache.isis.viewer:dnd-tck,,
org.apache.isis.viewer:html-tck,,
org.apache.jackrabbit:oak-run,,throw
org.apache.jackrabbit:oak-tarmk-failover,,throw
org.apache.marmotta:marmotta-loader-berkeley,,
org.apache.marmotta:marmotta-loader-hbase,,
org.apache.marmotta:marmotta-loader-kiwi,,
org.apache.servicemix.bundles:org.apache.servicemix.bundles.drools,,class
org.apache.servicemix.bundles:org.apache.servicemix.bundles.gae,,
org.apache.servicemix.bundles:org.apache.servicemix.bundles.guava,,
org.apache.servicemix.bundles:org.apache.servicemix.bundles.gwt-dev,,
org.apache.servicemix.bundles:org.apache.servicemix.bundles.gwt-servlet,,
org.apache.servicemix.bundles:org.apache.servicemix.bundles.gwt-user,,
org.apache.servicemix.bundles:org.apache.servicemix.bundles.hadoop-client,,
org.apache.servicemix.bundles:org.apache.servicemix.bundles.hbase,,
org.apache.servicemix.bundles:org.apache.servicemix.bundles.hystrix,,
org.apache.servicemix.bundles:org.apache.servicemix.bundles.jruby,,throw
org.apache.servicemix.bundles:org.apache.servicemix.bundles.mvel,,class
org.apache.servicemix.bundles:org.apache.servicemix.bundles.neo4j,,throw
org.apache.servicemix.bundles:org.apache.servicemix.bundles.scala-library,,
org.apache.servicemix.bundles:org.apache.servicemix.bundles.xstream-1.2.2,,
org.apache.shindig:shindig-uber,,
org.apache.sling:org.apache.sling.extensions.gwt.servlet,,
org.apache.stanbol:org.apache.stanbol.entityhub.indexing.dblp,,
